"행정구역","2025년06월_남_총인구수","2025년06월_남_연령구간인구수","2025년06월_남_0~9세","2025년06월_남_10~19세","2025년06월_남_20~29세","2025년06월_남_30~39세","2025년06월_남_40~49세","2025년06월_남_50~59세","2025년06월_남_60~69세","2025년06월_남_70~79세","2025년06월_남_80~89세","2025년06월_남_90~99세","2025년06월_남_100세 이상","2025년06월_여_총인구수","2025년06월_여_연령구간인구수","2025년06월_여_0~9세","2025년06월_여_10~19세","2025년06월_여_20~29세","2025년06월_여_30~39세","2025년06월_여_40~49세","2025년06월_여_50~59세","2025년06월_여_60~69세","2025년06월_여_70~79세","2025년06월_여_80~89세","2025년06월_여_90~99세","2025년06월_여_100세 이상"
"서울특별시  (1100000000)","4,497,354","4,497,354","241,342","368,462","603,620","726,407","677,823","728,421","625,398","362,183","148,795","14,562","341","4,828,262","4,828,262","229,243","353,216","683,357","725,831","694,048","752,136","693,998","441,196","216,178","37,903","1,156"
"서울특별시 종로구 (1111000000)","66,315","66,315","2,698","4,586","9,630","9,900","8,839","11,416","10,479","5,620","2,773","361","13","71,700","71,700","2,600","4,775","11,007","9,960","9,531","11,760","10,478","6,620","4,157","786","26"
"서울특별시 종로구 청운효자동(1111051500)","4,982","4,982","274","516","625","702","742","873","620","374","228","25","3","5,982","5,982","250","505","666","809","991","1,023","787","542","339","69","1"
"서울특별시 종로구 사직동(1111053000)","3,919","3,919","191","263","432","633","587","660","589","296","225","39","4","4,990","4,990","196","350","583","802","794","802","674","430","289","68","2"
"서울특별시 종로구 삼청동(1111054000)","1,025","1,025","33","91","114","123","146","152","176","122","59","9","0","1,121","1,121","39","64","104","153","151","174","190","135","89","22","0"
"서울특별시 종로구 부암동(1111055000)","4,219","4,219","187","414","522","575","594","726","624","363","189","25","0","4,792","4,792","169","347","504","626","735","882","747","451","267","61","3"
"서울특별시 종로구 평창동(1111056000)","8,011","8,011","488","748","912","975","1,063","1,373","1,344","703","344","59","2","9,223","9,223","421","774","944","1,066","1,339","1,702","1,488","830","512","138","9"
"서울특별시 종로구 무악동(1111057000)","3,580","3,580","221","374","364","383","567","715","521","276","137","22","0","4,237","4,237","273","503","446","421","664","693","601","364","239","33","0"
"서울특별시 종로구 교남동(1111058000)","4,368","4,368","322","362","479","636","754","807","524","315","155","14","0","5,131","5,131","333","392","557","771","870","855","641","443","233","36","0"
"서울특별시 종로구 가회동(1111060000)","1,720","1,720","86","142","164","240","267","308","263","160","79","11","0","1,987","1,987","54","142","195","269","307","340","295","209","149","25","2"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,033","4,033","84","108","452","621","493","711","871","473","195","23","2","2,652","2,652","64","102","471","431","329","342","404","281","193","34","1"
"서울특별시 종로구 종로5.6가동(1111063000)","2,751","2,751","72","83","452","535","326","452","467","233","118","13","0","2,533","2,533","64","103","601","448","237","346","346","222","143","23","0"
"서울특별시 종로구 이화동(1111064000)","3,260","3,260","69","163","662","624","393","483","454","262","134","16","0","3,782","3,782","83","160","920","625","400","503","490","342","216","43","0"
"서울특별시 종로구 혜화동(1111065000)","7,545","7,545","224","590","2,085","1,049","881","1,093","814","469","306","33","1","8,217","8,217","226","588","2,161","981","934","1,195","901","669","472","84","6"
"서울특별시 종로구 창신제1동(1111067000)","2,359","2,359","55","81","272","325","252","404","591","267","105","7","0","2,123","2,123","50","77","256","275","204","376","439","264","160","22","0"
"서울특별시 종로구 창신제2동(1111068000)","3,735","3,735","71","153","429","526","404","797","814","384","136","20","1","3,505","3,505","70","136","389","372","321","736","747","432","268","34","0"
"서울특별시 종로구 창신제3동(1111069000)","3,033","3,033","124","192","377","476","390","527","556","264","105","22","0","3,170","3,170","126","211","348","438","370","603","548","307","190","29","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,785","2,785","85","163","342","413","393","527","487","264","104","7","0","2,964","2,964","84","164","369","387","380","523","522","308","188","37","2"
"서울특별시 종로구 숭인제2동(1111071000)","4,990","4,990","112","143","947","1,064","587","808","764","395","154","16","0","5,291","5,291","98","157","1,493","1,086","505","665","658","391","210","28","0"
"서울특별시 중구 (1114000000)","57,267","57,267","2,605","2,935","7,233","10,619","8,190","9,150","8,954","5,110","2,211","252","8","61,830","61,830","2,491","2,964","9,027","10,676","8,014","9,067","9,132","6,100","3,627","719","13"
"서울특별시 중구 소공동(1114052000)","1,003","1,003","71","55","66","196","260","165","104","55","27","4","0","1,172","1,172","66","97","138","235","282","155","102","61","31","5","0"
"서울특별시 중구 회현동(1114054000)","2,212","2,212","71","105","197","262","233","401","509","295","121","18","0","2,065","2,065","71","96","199","278","246","342","374","283","136","39","1"
"서울특별시 중구 명동(1114055000)","1,032","1,032","25","52","124","162","138","191","180","111","43","6","0","1,475","1,475","18","62","178","161","186","245","287","194","114","30","0"
"서울특별시 중구 필동(1114057000)","2,221","2,221","65","100","397","449","294","327","312","175","87","15","0","2,108","2,108","67","101","417","416","239","246","274","192","110","44","2"
"서울특별시 중구 장충동(1114058000)","2,381","2,381","64","126","689","383","239","318","271","185","92","13","1","2,210","2,210","40","157","590","262","230","283","267","214","142","25","0"
"서울특별시 중구 광희동(1114059000)","2,789","2,789","62","84","429","684","350","386","443","244","100","7","0","2,945","2,945","51","96","699","623","327","314","381","274","155","25","0"
"서울특별시 중구 을지로동(1114060500)","1,638","1,638","57","30","158","490","269","204","237","138","50","5","0","1,376","1,376","64","53","208","394","228","149","131","86","56","7","0"
"서울특별시 중구 신당동(1114061500)","3,601","3,601","99","100","471","702","503","613","615","346","141","11","0","3,786","3,786","116","137","727","648","454","507","568","362","222","43","2"
"서울특별시 중구 다산동(1114062500)","6,303","6,303","193","361","884","1,125","826","1,078","959","580","274","23","0","6,755","6,755","198","300","971","1,028","847","1,056","1,144","708","424","78","1"
"서울특별시 중구 약수동(1114063500)","7,302","7,302","383","423","760","1,116","1,007","1,171","1,239","791","367","44","1","8,557","8,557","370","413","864","1,203","1,058","1,378","1,466","1,021","650","132","2"
"서울특별시 중구 청구동(1114064500)","5,156","5,156","266","308","570","963","679","824","821","491","215","18","1","5,925","5,925","258","292","677","1,004","685","935","955","632","408","79","0"
"서울특별시 중구 신당제5동(1114065000)","4,869","4,869","203","229","594","927","702","890","778","371","154","20","1","5,179","5,179","201","253","768","956","629","793","759","502","277","41","0"
"서울특별시 중구 동화동(1114066500)","4,716","4,716","297","359","500","610","668","796","842","440","177","26","1","5,127","5,127","261","344","530","676","669","918","855","481","329","64","0"
"서울특별시 중구 황학동(1114067000)","6,156","6,156","314","215","818","1,594","940","839","801","457","159","18","1","6,996","6,996","262","236","1,343","1,645","951","859","815","558","274","52","1"
"서울특별시 중구 중림동(1114068000)","5,888","5,888","435","388","576","956","1,082","947","843","431","204","24","2","6,154","6,154","448","327","718","1,147","983","887","754","532","299","55","4"
